Team,Round,teamRound,EXP,ELO
CHI,1,1,0.5,1016
CLE,1,1,0.5,984
ATL,2,1,0.5,984
DET,2,1,0.5,1016
NOP,3,1,0.5,984
GSW,3,1,0.5,1016
CHI,4,2,0.5,1016
BRK,4,1,0.5,984
CHO,5,1,0.5,984
MIA,5,1,0.5,1016
CLE,6,2,0.4769904127024377,1000.736306793522
MEM,6,1,0.5230095872975623,983.263693206478
DAL,7,1,0.5,1016
PHO,7,1,0.5,984
DEN,8,1,0.5,1016
HOU,8,1,0.5,984
TOR,9,1,0.5,1016
IND,9,1,0.5,984
SAC,10,1,0.5,984
LAC,10,1,0.5,1016
LAL,11,1,0.5,984
MIN,11,1,0.5,1016
POR,12,1,0.5230095872975623,1015.263693206478
NOP,12,2,0.4769904127024377,968.736306793522
MIL,13,1,0.5,984
NYK,13,1,0.5,1016
BOS,14,1,0.5,1016
PHI,14,1,0.5,984
SAS,15,1,0.5,984
OKC,15,1,0.5,1016
UTA,16,1,0.4769904127024377,984.736306793522
DET,16,2,0.5230095872975623,1031.263693206478
ORL,17,1,0.5,984
WAS,17,1,0.5,1016
NYK,18,2,0.5459219227804837,998.5304984710245
ATL,18,2,0.4540780772195163,1001.4695015289755
LAC,19,2,0.5,1032
DAL,19,2,0.5,1000
IND,20,2,0.5010596290677871,967.9660918698308
MEM,20,2,0.4989403709322129,999.2976013366472
BRK,21,2,0.5,968
SAS,21,2,0.5,1000
CHI,22,3,0.4780479008586052,1000.7024671725246
DET,22,3,0.5219520991413947,1046.5612260339533
ATL,23,3,0.5251194681318029,1016.6656785487578
CHO,23,2,0.4748805318681971,968.8038229802177
GSW,24,2,0.5459219227804837,1030.5304984710244
HOU,24,2,0.4540780772195163,969.4695015289755
LAL,25,2,0.5,968
SAC,25,2,0.5,1000
MIA,26,2,0.5219520991413948,999.2975328274754
CLE,26,3,0.478047900858605,1017.4387739660466
MIN,27,2,0.5,1032
DEN,27,2,0.5,1000
ORL,28,2,0.4540780772195163,969.4695015289755
OKC,28,2,0.5459219227804837,1030.5304984710244
PHO,29,2,0.45512897255386586,1001.4358728782763
